dtopen,dtclose,dtopen_str,dtclose_str,size,avg_open_price,avg_close_price,pnl,pnlcomm
737982.6527777778,737982.65625,2021-07-11 15:40:00,2021-07-11 15:45:00,5.881,34705.44,34704.05,-8.174589999996577,-171.45347426999658
737982.65625,737982.6597222222,2021-07-11 15:45:00,2021-07-11 15:50:00,-5.529,34704.05,34705.82187737385,-9.796709999981642,-163.30358263998164
737982.6597222222,737982.6631944445,2021-07-11 15:50:00,2021-07-11 15:55:00,6.184,34704.75,34704.74,-0.06184000001259847,-171.7531544500126
737982.6631944445,737982.6666666666,2021-07-11 15:55:00,2021-07-11 16:00:00,-5.505,34704.74,34705.44,-3.8535000000240323,-156.69471636002405
