datetime,unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT,tradecount
2017-08-17 04:00:00,1502942400.0,2017-08-17 04-AM,BTC/USDT,16199.91,16199.91,4261.32,4308.83,44.51,190952.85,
2017-08-17 05:00:00,1502946000.0,2017-08-17 05-AM,BTC/USDT,4308.83,4328.69,4291.37,4315.32,23.23,100304.82,
2017-08-17 06:00:00,1502949600.0,2017-08-17 06-AM,BTC/USDT,4315.32,4345.45,4309.37,4324.35,7.23,31282.31,
2017-08-17 07:00:00,1502953200.0,2017-08-17 07-AM,BTC/USDT,4324.35,4349.99,4287.41,4349.99,4.44,19241.06,
2017-08-17 08:00:00,1502956800.0,2017-08-17 08-AM,BTC/USDT,4349.99,4377.85,4333.32,4360.69,0.9499,4139.7,
2017-08-17 09:00:00,1502960400.0,2017-08-17 09-AM,BTC/USDT,4360.69,4445.78,4360.0,4444.0,10.76,47219.36,
2017-08-17 10:00:00,1502964000.0,2017-08-17 10-AM,BTC/USDT,4444.0,4470.0,4399.81,4460.0,23.94,106203.72,
2017-08-17 11:00:00,1502967600.0,2017-08-17 11-AM,BTC/USDT,4460.0,4485.39,4427.3,4427.3,27.02,120751.57,
2017-08-17 12:00:00,1502971200.0,2017-08-17 12-PM,BTC/USDT,4427.3,4449.56,4411.0,4411.0,23.03,102126.52,
2017-08-17 13:00:00,1502974800.0,2017-08-17 01-PM,BTC/USDT,4411.0,4459.0,4411.0,4459.0,30.76,136515.55,
2017-08-17 14:00:00,1502978400.0,2017-08-17 02-PM,BTC/USDT,4459.0,4485.39,4435.93,4470.82,51.74,230871.45,
2017-08-17 15:00:00,1502982000.0,2017-08-17 03-PM,BTC/USDT,4470.82,4470.82,4333.42,4352.34,67.79,299224.79,
2017-08-17 16:00:00,1502985600.0,2017-08-17 04-PM,BTC/USDT,4352.34,4354.35,4255.3,4354.18,67.17,289379.63,
2017-08-17 17:00:00,1502989200.0,2017-08-17 05-PM,BTC/USDT,4354.18,4354.84,4235.45,4354.18,59.54,256367.56,
2017-08-17 18:00:00,1502992800.0,2017-08-17 06-PM,BTC/USDT,4289.24,4302.45,4218.68,4256.97,51.28,218259.36,
